user_id,pickup_datetime,pickup_latitude,pickup_longitude,nearest_poi
344,2013-06-08 11:38:00,40.768815,-73.862865,6340
345,2013-06-08 04:22:00,40.735472,-73.9752,2306
346,2013-06-08 16:04:00,40.75527,-73.965043,3357
347,2013-06-08 13:21:00,40.710225,-74.007655,3888
348,2013-06-08 13:46:00,40.7617,-73.96662,957
349,2013-06-08 14:15:00,40.716532,-73.99718,2533
350,2013-06-08 15:47:00,40.710455,-74.011155,3198
351,2013-06-08 08:49:00,40.792927,-73.967805,2861
352,2013-06-08 09:30:00,40.765092,-73.991565,3521
353,2013-06-08 15:59:00,40.762907,-73.959762,2981
354,2013-06-08 11:05:00,40.741672,-73.99358,2897
355,2013-06-08 13:49:00,40.760472,-73.967172,3893
356,2013-06-08 12:34:00,40.768227,-73.968057,4334
357,2013-06-08 13:32:00,40.734117,-73.998717,3135
358,2013-06-08 12:05:00,40.76884,-73.862955,6340
359,2013-06-08 15:08:00,40.781227,-73.983435,3337
360,2013-06-08 12:19:00,40.772722,-73.98917,3512
361,2013-06-08 06:25:00,40.775735,-73.94722,5593
362,2013-06-08 10:53:00,40.689717,-73.975473,5484
363,2013-06-08 10:37:00,40.789325,-73.978402,6261
364,2013-06-08 16:00:00,40.720055,-74.002452,6060
365,2013-06-08 10:26:00,40.735687,-73.979395,2306
366,2013-06-08 08:52:00,40.754912,-73.973755,4388
367,2013-06-08 10:35:00,40.7699,-73.866312,6340
368,2013-06-08 13:30:00,0,0,5907
369,2013-06-08 09:01:00,40.764047,-73.979237,2934
370,2013-06-08 15:27:00,40.757422,-73.990667,5623
371,2013-06-08 15:02:00,40.751272,-73.991172,906
372,2013-06-08 13:25:00,40.782097,-73.981047,3016
373,2013-06-08 15:23:00,40.744077,-73.974162,3572
374,2013-06-08 12:23:00,40.77133,-73.865432,6340
375,2013-06-08 08:30:00,40.775982,-73.987332,3012
376,2013-06-08 09:05:00,40.778797,-73.98165,3988
377,2013-06-08 18:31:00,40.725557,-74.004432,4289
378,2013-06-08 14:44:00,40.738752,-73.98289,289
379,2013-06-08 11:17:00,40.767007,-73.971025,4335
380,2013-06-08 12:24:00,0,0,5907
381,2013-06-08 14:01:00,40.781255,-73.960787,6074
382,2013-06-08 11:23:00,40.73505,-74.006017,6364
383,2013-06-08 13:21:00,40.758972,-73.97529,2421
384,2013-06-08 13:47:00,40.742192,-73.996435,4062
385,2013-06-08 13:35:00,40.726112,-74.000685,5260
386,2013-06-08 13:01:00,40.758705,-73.970042,3887
387,2013-06-08 13:51:00,40.772205,-73.95581,4673
388,2013-06-08 08:19:00,0,0,5907
389,2013-06-08 16:03:00,40.768992,-73.862892,6340
390,2013-06-08 18:21:00,40.771602,-73.95032,5699
391,2013-06-08 13:28:00,40.800035,-73.940742,5507
392,2013-06-08 13:09:00,40.764492,-73.97681,4046
393,2013-06-08 13:18:00,40.762982,-73.96559,6185
394,2013-06-08 17:54:00,40.783772,-73.974157,3019
395,2013-06-08 15:44:00,40.776725,-73.964002,4153
396,2013-06-08 11:29:00,40.726005,-73.991817,941
397,2013-06-08 03:31:00,40.726942,-73.983827,413
398,2013-06-10 23:19:00,40.742172,-73.97459,6358
399,2013-06-08 06:41:00,40.766702,-73.970983,4335
400,2013-06-08 16:06:00,40.775307,-73.945672,5593
401,2013-06-08 17:52:00,40.787812,-73.97868,2238
402,2013-06-08 13:14:00,40.782877,-73.95096,5498
403,2013-06-08 10:38:00,40.744567,-73.994985,402
404,2013-06-08 13:24:00,40.764457,-73.96655,5990
405,2013-06-08 13:36:00,40.743612,-73.979442,4432
406,2013-06-08 18:16:00,40.7577,-73.997015,3520
407,2013-06-08 15:46:00,40.780822,-73.98141,3322
408,2013-06-08 12:39:00,0,0,5907
409,2013-06-08 08:17:00,40.764327,-73.97901,6214
410,2013-06-08 08:48:00,40.759287,-73.972417,6129
411,2013-06-08 14:28:00,40.738892,-73.991572,1
412,2013-06-08 15:37:00,40.73902,-73.99299,2522
413,2013-06-08 12:40:00,40.750282,-73.99462,2100
414,2013-06-08 14:33:00,40.738875,-74.00553,3591
415,2013-06-08 01:10:00,40.726542,-73.99233,3804
416,2013-06-08 02:07:00,40.725795,-73.983725,725
417,2013-06-08 14:35:00,40.746917,-73.981042,6137
418,2013-06-08 16:11:00,40.741957,-74.00478,5690
419,2013-06-08 10:39:00,40.713597,-73.99824,4610
420,2013-06-08 14:44:00,40.747737,-73.986862,5830
421,2013-06-08 12:42:00,40.774002,-73.98192,4016
422,2013-06-08 03:45:00,40.714137,-73.987105,273
423,2013-06-08 11:59:00,40.789857,-73.976943,6261
424,2013-06-08 11:38:00,40.705392,-74.007852,2362
425,2013-06-08 15:30:00,40.730277,-73.986502,2787
426,2013-06-08 13:30:00,40.785677,-73.953398,1880
427,2013-06-08 17:15:00,40.75893,-73.97917,4340
428,2013-06-08 12:24:00,40.793302,-73.972697,2599
429,2013-06-08 15:32:00,40.773362,-73.96229,504
430,2013-06-08 10:09:00,40.729722,-73.998745,3423
431,2013-06-08 13:24:00,40.782872,-73.957388,5711
432,2013-06-08 08:14:00,40.724517,-73.998737,3405
433,2013-06-08 17:38:00,40.763322,-73.963017,5969
434,2013-06-08 12:19:00,40.781792,-73.979292,2511
435,2013-06-08 14:27:00,40.73828,-73.992047,4670
436,2013-06-08 18:25:00,40.71093,-74.008837,4794
437,2013-06-08 08:48:00,40.756637,-73.997853,3520
438,2013-06-08 09:42:00,40.782612,-73.980523,2809
439,2013-06-08 12:25:00,40.779162,-73.960018,2101
440,2013-06-08 08:19:00,40.760185,-73.995093,3574
441,2013-06-08 10:48:00,40.749597,-73.995357,6278
442,2013-06-08 06:01:00,40.750462,-73.986372,3750
443,2013-06-08 15:05:00,40.77285,-73.952285,5591
444,2013-06-08 14:27:00,40.763445,-73.973827,4325
445,2013-06-08 07:21:00,40.718332,-73.98717,410
446,2013-06-08 11:39:00,40.775995,-73.95008,5983
